K,ClusterID,NumSubjects,NumSham,NumReal,CGI_Real,CGI_Sham,ImprovementPercent
3,1,68,40,28,2.38605830164766,2.3597679446132,-1.11410772802786
3,2,39,21,19,2.63994828700711,2.57149186937835,-2.66212848828913
3,3,35,23,12,2.44798159691303,2.24280405159222,-9.14825997282967
6,4,24,13,11,2.31482509716824,2.56060894386299,9.59864829355602
6,5,27,16,11,2.28282179013338,2.19332064890847,-4.08062274293755
6,6,25,16,9,2.66068070703272,2.11681157854944,-25.692845503801
6,7,21,11,10,2.44632165996883,2.20476061671626,-10.9563388161548
6,8,22,12,11,2.82272828756419,3.17456186014229,11.0829017697053
6,9,23,16,7,2.3936308492201,2.33355641815018,-2.57437234440401
7,10,18,10,8,2.52243066884176,2.19732951835956,-14.7952843561173
7,11,20,11,9,2.81526315789474,3.17855049814417,11.4293398975898
7,12,3,1,2,2.13333333333333,2.33333333333333,8.57142857142858
7,13,24,13,11,2.31482509716824,2.56060894386299,9.59864829355602
7,14,29,18,11,2.49475495820357,2.22467169203053,-12.1403651217645
7,15,23,16,7,2.3936308492201,2.33355641815018,-2.57437234440401
7,16,25,15,11,2.46445497630332,2.1475594091201,-14.7560791956416
8,17,18,9,9,2.81526315789474,3.41777140809746,17.6286877693237
8,18,3,1,2,2.13333333333333,2.33333333333333,8.57142857142858
8,19,24,13,11,2.31482509716824,2.56060894386299,9.59864829355602
8,20,23,16,7,2.3936308492201,2.33355641815018,-2.57437234440401
8,21,17,10,8,2.52373592404504,1.95448974589427,-29.1250531933752
8,22,18,10,8,2.52243066884176,2.19732951835956,-14.7952843561173
8,23,10,7,3,2.29559748427673,2.4222623345367,5.22919621272977
8,24,29,18,11,2.49475495820357,2.22467169203053,-12.1403651217645
9,25,3,1,2,2.13333333333333,2.33333333333333,8.57142857142858
9,26,12,6,6,2.48141687910908,2.14899806076277,-15.4685490143406
9,27,16,9,7,2.33719503884421,2.85638998682477,18.1766128006108
9,28,23,13,11,2.46445497630332,2.22525010740809,-10.7495722884763
9,29,19,14,5,2.51568751316067,2.16790009250694,-16.0425944837499
9,30,20,11,9,2.81526315789474,3.17855049814417,11.4293398975898
9,31,13,8,5,2.63600935307872,2.11158149380103,-24.8357859176763
9,32,16,11,5,2.03376844494892,2.30793456390517,11.8792847615377
9,33,20,11,9,2.50399239543726,2.25648675526625,-10.9686280938001
